#Sense Regulated:581	Antisense Regulated:261	Dual Regulated:116
#downstream:300	upstream:300	body:850	bin size:10	unscaled 5 prime:0	unscaled 3 prime:0
Sense Regulated:581	Antisense Regulated:261	Dual Regulated:116	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression	minus_transcriptome Gene Expression
6.983e+04	1.073e+05	1.08e+05	1.068e+05	1.054e+05	7.289e+04	1.369e+04	8724	5472	3013	2610	1424	1062	667.1	180	78	164.7	254.1	279.7	299.9	298.8	220.9	132.5	103.3	105.4	265.3	293.1	335.9	329.5	307.2	207	196	163	126	120	106	103	101	102	102	102	104	102	104	105	104	104	102	102	99	88	86	62	53	39	40	37	39	39	40	39	39	37	34	36	36	33	33	33	33	33	33	34	32	32	34	34	34	35	36	42	43	45	47	47	47	47	47	50	48	47	45	48	49	49	48	48	48	44	44	42	42	42	40	41	41	41	41	38	39	39	39	39	39	39	37.9	37.1	30.5	57.9	1878	2904	3334	3671	4456	3475	2615	2615	2651	2513	2730	3548	3382	4737	4.206e+04	1.666e+05	2.76e+05	3.316e+05	3.748e+05	3.846e+05	3.106e+05	2.373e+05	2.094e+05	1.866e+05	1.785e+05	1.574e+05
8.9	7.2	6.2	9.5	10.7	12.3	12.9	13.1	11.2	8.8	6.6	5.8	11.7	13.5	13.9	16.6	29	1844	8509	1.035e+04	1.198e+04	1.294e+04	1.21e+04	6802	9784	9706	1.289e+04	1.361e+04	1.329e+04	9483	8300	5635	6657	7294	6707	5686	4686	5143	1.12e+04	1.188e+04	1.208e+04	1.094e+04	4460	3822	3380	3000	3947	4258	5903	7450	7481	7312	7196	7839	8014	7258	7940	8125	8336	1.013e+04	1.013e+04	8433	6590	5528	4499	3914	5501	6302	8188	9750	9327	8790	6744	5268	4522	3785	3594	4819	6794	6629	6349	6403	6788	6776	7178	6768	3079	3257	2991	3074	3863	4272	4990	5085	4192	3484	2706	2399	2476	2814	3392	4156	4513	4233	3780	3420	2935	3271	4444	3962	3521	2944	1705	1165	910.8	830.5	341.2	90.11	2	2	3.3	6	7.5	8.5	8.6	8.9	6	4.8	3.2	3.5	2.3	2.5	3.5	3.2	2.8	3.8	3.6	2.6	1.8	1	2	3	4.8	7	6.7
2845	2907	2710	1600	1680	1414	1287	1160	1496	1625	1876	1879	1684	1462	1392	1131	1019	1197	1377	1672	1916	2118	2146	1891	2100	2296	2388	2459	2762	2638	2560	2208	2112	2242	2170	2111	2182	2269	2494	2511	2237	1993	2008	1995	2005	1836	1780	1783	1768	1437	1092	999	1081	1182	1420	1470	1698	1807	1883	1884	1848	2179	2254	2181	2128	2146	1946	1959	1868	1722	1774	1979	2002	1790	1570	1603	1572	1600	1506	1430	1374	1569	1597	1435	1501	1638	1811	2003	2206	2330	2400	2533	2560	2586	2830	3002	2967	2904	2852	2640	2605	2410	2542	3120	3792	3682	3341	3599	4076	4843	5417	5404	5193	5131	5008	4011	3768	2819	1670	1719	2301	2188	1840	1764	1766	1422	1440	1575	1815	1989	1641	1397	1223	924.2	974.3	1682	2083	2318	2551	2547	1758	1508	1438	1367	1465
7.7	10.3	12.4	13	12.3	10.6	6.2	2.2	1.1	1	1.3	5	9.7	75.8	1119	2041	2165	2587	2895	2147	1288	1281	1060	991	1208	1215	1304	1619	2017	1719	1791	1819	1744	1813	1836	1752	1695	1558	1691	1860	1952	1902	1968	2046	1992	2023	2076	1988	2067	2082	2292	2150	1945	1806	1773	1814	1745	1663	1749	1881	2323	2672	2602	2617	2375	2187	2120	2030	1968	1915	1892	1981	1890	1710	1105	843.7	881.5	925.2	904.3	1096	1627	2073	2350	2506	2598	2493	2443	2453	2425	2432	2396	2408	2542	2235	1705	1388	1263	1256	1206	1307	1367	1346	1385	1352	1340	1317	1206	1392	1479	1382	1226	1164	1163	1282	1611	1818	1932	1788	1737	1559	1186	1194	1563	1688	1568	1459	1478	1409	1389	1504	1491	1320	987.2	902.4	846.4	894.2	1046	1302	1331	1282	1344	1403	1565	1539	2020
3147	2813	2152	917.7	687.5	535.6	510.4	511.1	545.1	592.6	554.7	569.9	616.3	480.8	308.5	261.2	245.7	154.7	145	130.6	439.3	617.2	682.7	854	1961	1904	1875	2020	2282	1369	1316	1252	1295	1212	1181	1140	996	896.2	795.5	751	705.4	704	876.2	1355	1585	1713	1864	2053	2075	2118	2139	2158	2166	2013	1768	1289	1197	1046	899	817	892.5	883.8	902	904.8	983.8	1040	994.2	979	1044	1121	1176	1124	1101	1192	1232	1256	1224	1196	1263	1371	1423	1491	1447	1412	1308	1306	1414	1630	1815	1990	2014	1984	1857	1767	1792	1798	1734	1675	1467	1249	1136	1043	931	888.5	1106	1136	1410	1988	2053	2060	2110	2012	2080	2049	2111	2086	1704	1285	1255	1226	1164	1040	1332	1491	1485	1380	1449	1332	1219	1244	1373	1349	1163	1098	1082	1394	1652	1769	1795	1840	1430	1093	1183	1558	1838
70.5	66.6	63.9	60.2	23.7	22.5	37.3	52.2	55.6	56.3	64.5	58.4	40.6	41.5	52.7	71.1	78.9	95.9	100.4	93	63	52.2	43.1	46.5	313.5	1361	1713	2051	2330	2340	1736	1382	1523	1465	1462	1368	1450	1417	1436	1500	1745	1756	1755	1644	1587	1522	1559	1430	1494	1932	1971	1812	1630	1580	1486	1446	1602	2766	3421	3975	3618	3385	3304	3274	3260	3272	3299	3306	2795	1616	963	685.4	739.2	715.2	755.5	789.8	829.4	938.5	1025	955	929.2	902.2	909.5	1109	1157	1112	1093	1168	1223	1122	1099	1142	1188	1361	1274	1144	1125	1156	1163	1064	911.6	998	1100	1103	1022	864.4	891.5	976.8	1920	2019	2090	2141	2130	2091	2027	2069	2027	1087	962.1	1051	1304	1622	1633	1661	1664	1378	1092	1066	1046	973.5	1010	909	927.8	838.5	788	742.1	763.9	1275	1398	1454	1628	1868	1297	1102	1000
23.5	26.6	28	25.2	23.1	13.6	11.9	7.4	7.8	9.3	12	13.4	14	13.5	10.6	134.3	668.6	784.2	873.4	1122	1289	1020	1084	1378	1718	1575	1580	1525	1347	897.7	881.5	1060	1415	1450	1551	1715	1822	1827	1790	1854	1968	1804	1501	1528	1625	1445	1299	1345	1420	1433	1488	1509	1513	1456	1450	1682	1787	1734	1671	1602	1491	1527	1458	1299	1197	1083	995.4	1102	1083	1089	1109	1617	3286	3388	3476	3356	3244	3107	3105	3091	2978	2480	872.2	832.4	676.2	675.2	717	754	791.2	863.4	882	877.4	740	993.3	1066	1145	1134	1139	1125	1093	1103	1178	1216	1031	1033	1201	1475	1547	1584	1654	1757	1740	1871	1859	1764	1441	1327	1225	1082	1016	1364	1766	1707	1722	1934	1703	1070	1060	1011	844.8	1779	1837	1790	1753	1702	700.7	604.8	629.5	692.8	821.8	811.3	740.8	808.1	736.2	527.5
3	nan	nan	nan	nan	nan	nan	2	2	3	3.2	5.2	5.8	4	3.1	3	1.9	1	2.8	5	5.9	5.1	5.9	4.6	60.4	306.7	487.8	744.2	870.4	974.5	894.5	797.8	811.2	761.3	776.2	677.2	763.7	911.5	1050	1046	1056	1083	1104	1136	1187	1183	1158	1219	1227	1265	1128	1249	1373	1388	1384	1337	1466	1561	1528	1495	1507	1481	1502	1503	1490	1373	1292	1355	1430	1451	1404	1294	1353	1502	1490	1486	1552	1546	1655	1531	1408	1353	1298	1282	1221	1231	1442	1443	1660	1691	1629	1599	1504	1456	1486	1498	1674	1692	1648	1617	1390	1322	1234	1717	1982	2023	2018	2440	3057	3001	2802	2973	3236	3431	3472	3237	2570	1880	1333	803.1	629.1	625.7	841	900.9	978.3	1039	1020	893.9	944.3	945	880.2	813.5	750	937.2	2017	2142	2130	2037	1723	610.6	401.4	443.4	420.8	415.1	268.8
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1	1	1.8	2	2	1.8	1.4	1.3	1.6	3	3	3.4	4.8	4.6	3	4.6	87.1	910.2	1322	1440	1546	1640	1693	1731	1777	1565	984	1142	1086	1059	1153	1146	1355	1446	1546	1458	1414	1298	1246	1304	1255	1321	1354	1281	1367	1481	1512	1462	1464	1500	1589	1604	2019	2870	3046	2933	2908	2984	3022	2987	2892	2919	2708	1778	1290	1188	1169	1113	1073	1101	1080	1097	2231	2692	2657	2719	2897	2828	2803	2732	2714	2701	2387	1000	1124	1173	901.6	839.8	892.5	961.4	948.2	925.2	911.4	807.2	551.6	418.6	310.2	325.4	349.4	202	214.2	197.8	180.6	162	157.1	137.7	50.3	20.2	12.9	12	12	11.8	9.8	nan	3.167	4	5	5	5	3.5	1.3	1.8	2	2	2	1.8	1	nan	1	1	1	1	1	1
77.3	80.9	78.3	72.9	64.1	65.2	68	58.2	62.4	84.7	89.2	87.4	108	128.7	122.6	119.8	130.4	120.1	135.3	139.1	137.7	123.6	116.1	83.6	290.9	776.3	934.9	1131	1246	1102	807	813	692.3	708	685.3	668.7	639.7	645.3	609	577.3	712.3	856	907	946	970	983	963.3	942.7	865	832.3	823	824	896.3	973.3	979	946.7	915	827	651	609.7	648	638.3	669.7	741.7	757.3	733.7	748.7	772.3	805.3	799	724.3	672.3	659.5	663.7	666.7	691.7	705.7	701.3	763	781.7	713	701	733.7	717.3	731.3	731	679.5	697.7	687.7	682.7	703.3	754.3	717.3	771.3	793	941	1028	1035	1042	1072	1316	1353	1337	1318	1329	1367	1447	1550	1541	1626	1674	1637	1482	1321	1276	1205	991.3	1019	818.6	753.1	708.6	668.7	618.1	718.9	696.6	953.2	1059	1006	1082	1065	823	805.8	1430	1531	1544	1663	1741	1341	1065	1025	1030	843.9	825.3	1720	1761
